candidate,architecture,candidate_type,relu_number,relu_points,torchvision_feature_index,pretrained,normalize_features,mode,subset,score,score_percent
vgg16_bn_multi_relu2_4_7_13,vgg16_bn,multi_relu_mean,,"[2, 4, 7, 13]","[5, 12, 22, 42]",True,True,jnd,val/traditional,0.4256847057086206,42.56847057086206
vgg16_bn_relu2,vgg16_bn,single_relu,2.0,[2],5,True,True,jnd,val/cnn,0.6514146964003092,65.14146964003092
vgg16_bn_relu4,vgg16_bn,single_relu,4.0,[4],12,True,True,jnd,val/cnn,0.6539464264021158,65.39464264021157
vgg16_bn_relu7,vgg16_bn,single_relu,7.0,[7],22,True,True,jnd,val/cnn,0.6526209399591287,65.26209399591288
vgg16_bn_relu13,vgg16_bn,single_relu,13.0,[13],42,True,True,jnd,val/cnn,0.6626758624676286,66.26758624676286
vgg16_bn_multi_relu2_4_7_13,vgg16_bn,multi_relu_mean,,"[2, 4, 7, 13]","[5, 12, 22, 42]",True,True,jnd,val/cnn,0.6725385359738035,67.25385359738036
vgg19_relu2,vgg19,single_relu,2.0,[2],3,True,True,2afc,val/traditional,0.6042372911442387,60.42372911442387
vgg19_relu4,vgg19,single_relu,4.0,[4],8,True,True,2afc,val/traditional,0.6180084776164869,61.80084776164869
vgg19_relu8,vgg19,single_relu,8.0,[8],17,True,True,2afc,val/traditional,0.6687288169607015,66.87288169607015
vgg19_relu16,vgg19,single_relu,16.0,[16],35,True,True,2afc,val/traditional,0.7440254279712246,74.40254279712246
vgg19_multi_relu2_4_8_16,vgg19,multi_relu_mean,,"[2, 4, 8, 16]","[3, 8, 17, 35]",True,True,2afc,val/traditional,0.6444491557366515,64.44491557366516
vgg19_relu2,vgg19,single_relu,2.0,[2],3,True,True,2afc,val/cnn,0.8158262749660318,81.58262749660318
vgg19_relu4,vgg19,single_relu,4.0,[4],8,True,True,2afc,val/cnn,0.7898093255615588,78.98093255615588
vgg19_relu8,vgg19,single_relu,8.0,[8],17,True,True,2afc,val/cnn,0.788495766172596,78.8495766172596
vgg19_relu16,vgg19,single_relu,16.0,[16],35,True,True,2afc,val/cnn,0.8002754273208774,80.02754273208774
vgg19_multi_relu2_4_8_16,vgg19,multi_relu_mean,,"[2, 4, 8, 16]","[3, 8, 17, 35]",True,True,2afc,val/cnn,0.8148940715654674,81.48940715654675
vgg19_relu2,vgg19,single_relu,2.0,[2],3,True,True,2afc,val/color,0.5998728871913784,59.987288719137844
vgg19_relu4,vgg19,single_relu,4.0,[4],8,True,True,2afc,val/color,0.5675423780929739,56.75423780929739
vgg19_relu8,vgg19,single_relu,8.0,[8],17,True,True,2afc,val/color,0.5639406828651742,56.39406828651742
vgg19_relu16,vgg19,single_relu,16.0,[16],35,True,True,2afc,val/color,0.604915259838483,60.491525983848305
vgg19_multi_relu2_4_8_16,vgg19,multi_relu_mean,,"[2, 4, 8, 16]","[3, 8, 17, 35]",True,True,2afc,val/color,0.5982627175590497,59.82627175590497
vgg19_relu2,vgg19,single_relu,2.0,[2],3,True,True,jnd,val/traditional,0.39875766247313366,39.875766247313365
vgg19_relu4,vgg19,single_relu,4.0,[4],8,True,True,jnd,val/traditional,0.3964757776829927,39.64757776829927
vgg19_relu8,vgg19,single_relu,8.0,[8],17,True,True,jnd,val/traditional,0.45100286157784847,45.10028615778484
vgg19_relu16,vgg19,single_relu,16.0,[16],35,True,True,jnd,val/traditional,0.5539156540484879,55.391565404848784
vgg19_multi_relu2_4_8_16,vgg19,multi_relu_mean,,"[2, 4, 8, 16]","[3, 8, 17, 35]",True,True,jnd,val/traditional,0.42583473624303586,42.583473624303586
vgg19_relu2,vgg19,single_relu,2.0,[2],3,True,True,jnd,val/cnn,0.6659391310708247,66.59391310708247
vgg19_relu4,vgg19,single_relu,4.0,[4],8,True,True,jnd,val/cnn,0.6569163884996722,65.69163884996722
vgg19_relu8,vgg19,single_relu,8.0,[8],17,True,True,jnd,val/cnn,0.653481070622937,65.3481070622937
vgg19_relu16,vgg19,single_relu,16.0,[16],35,True,True,jnd,val/cnn,0.6502243973737247,65.02243973737248
vgg19_multi_relu2_4_8_16,vgg19,multi_relu_mean,,"[2, 4, 8, 16]","[3, 8, 17, 35]",True,True,jnd,val/cnn,0.6744981593786623,67.44981593786623
